EmployeeNumber,Variable,Value
1,Gender,Female
2,Gender,Male
4,Gender,Male
5,Gender,Female
7,Gender,Male
8,Gender,Male
10,Gender,Female
11,Gender,Male
12,Gender,Male
13,Gender,Male
14,Gender,Male
15,Gender,Female
16,Gender,Male
18,Gender,Male
19,Gender,Male
20,Gender,Female
21,Gender,Male
22,Gender,Male
23,Gender,Female
24,Gender,Male
26,Gender,Female
27,Gender,Male
28,Gender,Female
30,Gender,Male
31,Gender,Male
32,Gender,Female
33,Gender,Female
35,Gender,Male
36,Gender,Female
38,Gender,Female
39,Gender,Male
40,Gender,Male
41,Gender,Male
42,Gender,Male
45,Gender,Male
46,Gender,Female
47,Gender,Male
49,Gender,Female
51,Gender,Female
52,Gender,Female
53,Gender,Male
54,Gender,Female
55,Gender,Male
56,Gender,Male
57,Gender,Female
58,Gender,Female
60,Gender,Male
61,Gender,Male
62,Gender,Male
63,Gender,Male
64,Gender,Male
65,Gender,Male
68,Gender,Female
70,Gender,Male
72,Gender,Female
73,Gender,Female
74,Gender,Male
75,Gender,Female
76,Gender,Male
77,Gender,Male
78,Gender,Male
79,Gender,Female
80,Gender,Female
81,Gender,Female
83,Gender,Female
84,Gender,Female
85,Gender,Male
86,Gender,Male
88,Gender,Male
90,Gender,Male
91,Gender,Female
94,Gender,Male
95,Gender,Male
96,Gender,Male
97,Gender,Female
98,Gender,Female
100,Gender,Male
101,Gender,Male
102,Gender,Male
103,Gender,Male
104,Gender,Male
105,Gender,Male
106,Gender,Male
107,Gender,Female
110,Gender,Male
112,Gender,Male
113,Gender,Male
116,Gender,Male
117,Gender,Male
118,Gender,Male
119,Gender,Male
120,Gender,Male
121,Gender,Female
124,Gender,Male
125,Gender,Male
126,Gender,Female
128,Gender,Female
129,Gender,Male
131,Gender,Male
132,Gender,Male
133,Gender,Male
134,Gender,Male
137,Gender,Female
138,Gender,Female
139,Gender,Male
140,Gender,Female
141,Gender,Female
142,Gender,Male
143,Gender,Male
144,Gender,Female
145,Gender,Female
147,Gender,Male
148,Gender,Female
150,Gender,Male
151,Gender,Female
152,Gender,Male
153,Gender,Female
154,Gender,Female
155,Gender,Female
158,Gender,Male
159,Gender,Male
160,Gender,Male
161,Gender,Female
162,Gender,Male
163,Gender,Male
164,Gender,Female
165,Gender,Female
167,Gender,Male
169,Gender,Male
170,Gender,Female
171,Gender,Female
174,Gender,Female
175,Gender,Female
176,Gender,Male
177,Gender,Female
178,Gender,Male
179,Gender,Male
182,Gender,Female
183,Gender,Male
184,Gender,Male
190,Gender,Female
192,Gender,Male
193,Gender,Female
194,Gender,Female
195,Gender,Male
197,Gender,Female
198,Gender,Male
199,Gender,Male
200,Gender,Male
201,Gender,Female
202,Gender,Female
204,Gender,Male
205,Gender,Male
206,Gender,Male
207,Gender,Female
208,Gender,Male
211,Gender,Male
214,Gender,Female
215,Gender,Male
216,Gender,Female
217,Gender,Male
218,Gender,Male
221,Gender,Male
223,Gender,Male
224,Gender,Male
226,Gender,Female
227,Gender,Male
228,Gender,Female
230,Gender,Female
231,Gender,Male
233,Gender,Male
235,Gender,Female
238,Gender,Male
239,Gender,Male
240,Gender,Female
241,Gender,Female
242,Gender,Male
243,Gender,Male
244,Gender,Female
245,Gender,Female
246,Gender,Female
247,Gender,Female
248,Gender,Female
249,Gender,Male
250,Gender,Female
252,Gender,Female
253,Gender,Female
254,Gender,Male
256,Gender,Male
258,Gender,Female
259,Gender,Male
260,Gender,Female
261,Gender,Male
262,Gender,Male
264,Gender,Male
267,Gender,Male
269,Gender,Female
270,Gender,Female
271,Gender,Male
273,Gender,Male
274,Gender,Male
275,Gender,Male
277,Gender,Male
281,Gender,Male
282,Gender,Male
283,Gender,Female
284,Gender,Male
286,Gender,Female
287,Gender,Male
288,Gender,Male
291,Gender,Male
292,Gender,Male
293,Gender,Female
296,Gender,Male
297,Gender,Female
298,Gender,Female
299,Gender,Female
300,Gender,Male
302,Gender,Female
303,Gender,Female
304,Gender,Male
305,Gender,Female
306,Gender,Male
307,Gender,Male
308,Gender,Male
309,Gender,Male
311,Gender,Male
312,Gender,Female
314,Gender,Female
315,Gender,Male
316,Gender,Female
319,Gender,Male
321,Gender,Male
323,Gender,Female
325,Gender,Male
327,Gender,Female
328,Gender,Female
329,Gender,Male
330,Gender,Female
331,Gender,Male
332,Gender,Female
333,Gender,Male
334,Gender,Male
335,Gender,Male
336,Gender,Male
337,Gender,Male
338,Gender,Female
339,Gender,Male
340,Gender,Female
341,Gender,Male
342,Gender,Male
343,Gender,Female
346,Gender,Male
347,Gender,Female
349,Gender,Male
350,Gender,Female
351,Gender,Female
352,Gender,Male
353,Gender,Male
355,Gender,Male
359,Gender,Male
361,Gender,Male
362,Gender,Male
363,Gender,Female
364,Gender,Male
366,Gender,Male
367,Gender,Male
369,Gender,Male
372,Gender,Male
373,Gender,Male
374,Gender,Male
376,Gender,Male
377,Gender,Male
378,Gender,Male
379,Gender,Male
380,Gender,Female
381,Gender,Female
382,Gender,Female
384,Gender,Female
385,Gender,Male
386,Gender,Male
387,Gender,Male
388,Gender,Male
389,Gender,Male
390,Gender,Male
391,Gender,Female
392,Gender,Male
393,Gender,Male
394,Gender,Male
395,Gender,Female
396,Gender,Female
397,Gender,Male
399,Gender,Female
401,Gender,Male
403,Gender,Male
404,Gender,Female
405,Gender,Male
406,Gender,Male
407,Gender,Male
408,Gender,Male
410,Gender,Male
411,Gender,Female
412,Gender,Male
416,Gender,Male
417,Gender,Male
419,Gender,Female
420,Gender,Male
421,Gender,Female
422,Gender,Male
423,Gender,Male
424,Gender,Male
425,Gender,Male
426,Gender,Male
428,Gender,Female
429,Gender,Male
430,Gender,Female
431,Gender,Female
433,Gender,Male
434,Gender,Female
436,Gender,Female
437,Gender,Male
438,Gender,Male
439,Gender,Female
440,Gender,Male
441,Gender,Female
442,Gender,Female
444,Gender,Male
445,Gender,Female
446,Gender,Male
447,Gender,Male
448,Gender,Female
449,Gender,Male
450,Gender,Female
451,Gender,Female
452,Gender,Male
453,Gender,Male
454,Gender,Male
455,Gender,Male
456,Gender,Female
458,Gender,Female
460,Gender,Male
461,Gender,Male
462,Gender,Female
463,Gender,Female
464,Gender,Male
465,Gender,Male
466,Gender,Male
467,Gender,Male
468,Gender,Female
469,Gender,Male
470,Gender,Male
471,Gender,Female
473,Gender,Female
474,Gender,Male
475,Gender,Female
476,Gender,Male
477,Gender,Male
478,Gender,Female
479,Gender,Female
481,Gender,Male
482,Gender,Male
483,Gender,Female
484,Gender,Male
485,Gender,Female
486,Gender,Female
487,Gender,Female
488,Gender,Male
491,Gender,Male
492,Gender,Male
493,Gender,Male
494,Gender,Female
495,Gender,Male
496,Gender,Male
497,Gender,Male
498,Gender,Male
499,Gender,Male
500,Gender,Female
501,Gender,Female
502,Gender,Male
505,Gender,Female
507,Gender,Female
508,Gender,Male
510,Gender,Male
511,Gender,Female
513,Gender,Male
514,Gender,Male
515,Gender,Female
516,Gender,Female
517,Gender,Female
518,Gender,Male
520,Gender,Male
521,Gender,Female
522,Gender,Male
523,Gender,Female
524,Gender,Female
525,Gender,Male
526,Gender,Female
527,Gender,Female
529,Gender,Female
530,Gender,Male
531,Gender,Male
532,Gender,Female
533,Gender,Female
534,Gender,Male
536,Gender,Male
538,Gender,Male
543,Gender,Male
544,Gender,Male
546,Gender,Female
547,Gender,Female
548,Gender,Female
549,Gender,Female
550,Gender,Female
551,Gender,Female
554,Gender,Female
555,Gender,Female
556,Gender,Male
558,Gender,Female
560,Gender,Female
562,Gender,Male
564,Gender,Male
565,Gender,Female
566,Gender,Male
567,Gender,Female
568,Gender,Male
569,Gender,Male
571,Gender,Female
573,Gender,Female
574,Gender,Female
575,Gender,Male
577,Gender,Male
578,Gender,Female
579,Gender,Male
580,Gender,Female
581,Gender,Male
582,Gender,Male
584,Gender,Male
585,Gender,Male
586,Gender,Male
587,Gender,Male
590,Gender,Female
591,Gender,Male
592,Gender,Male
593,Gender,Male
595,Gender,Female
597,Gender,Female
599,Gender,Male
600,Gender,Male
601,Gender,Female
602,Gender,Female
604,Gender,Male
605,Gender,Male
606,Gender,Male
608,Gender,Female
611,Gender,Male
612,Gender,Female
613,Gender,Male
614,Gender,Male
615,Gender,Male
616,Gender,Female
618,Gender,Male
620,Gender,Female
621,Gender,Male
622,Gender,Male
623,Gender,Female
624,Gender,Female
625,Gender,Female
626,Gender,Male
630,Gender,Male
631,Gender,Male
632,Gender,Male
634,Gender,Female
635,Gender,Female
638,Gender,Male
639,Gender,Male
641,Gender,Male
643,Gender,Male
644,Gender,Male
645,Gender,Male
647,Gender,Female
648,Gender,Male
649,Gender,Male
650,Gender,Male
652,Gender,Male
653,Gender,Male
655,Gender,Female
656,Gender,Male
657,Gender,Female
659,Gender,Female
661,Gender,Male
662,Gender,Female
663,Gender,Male
664,Gender,Female
665,Gender,Female
666,Gender,Female
667,Gender,Male
669,Gender,Male
671,Gender,Male
675,Gender,Male
677,Gender,Male
679,Gender,Female
680,Gender,Female
682,Gender,Female
683,Gender,Male
684,Gender,Female
686,Gender,Female
689,Gender,Male
690,Gender,Female
691,Gender,Male
692,Gender,Male
698,Gender,Male
699,Gender,Male
700,Gender,Male
701,Gender,Male
702,Gender,Male
704,Gender,Male
705,Gender,Male
707,Gender,Male
709,Gender,Female
710,Gender,Male
712,Gender,Male
714,Gender,Female
715,Gender,Male
716,Gender,Male
717,Gender,Female
720,Gender,Female
721,Gender,Female
722,Gender,Male
723,Gender,Male
724,Gender,Female
725,Gender,Female
727,Gender,Female
728,Gender,Male
729,Gender,Male
730,Gender,Male
731,Gender,Male
732,Gender,Male
733,Gender,Male
734,Gender,Male
738,Gender,Male
741,Gender,Female
742,Gender,Female
743,Gender,Female
744,Gender,Male
746,Gender,Female
747,Gender,Male
749,Gender,Male
752,Gender,Male
754,Gender,Male
757,Gender,Female
758,Gender,Male
760,Gender,Female
762,Gender,Male
763,Gender,Female
