,BusinessTravel,DailyRate,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,Travel_Frequently,279,2,3,61,2,2,Research Scientist,2,5130,24907,1,Y,No,23,4,80,1,10,3,3,10,7,1,7
2,Travel_Rarely,1373,4,4,92,2,1,Laboratory Technician,3,2090,2396,6,Y,Yes,15,3,80,0,7,3,3,0,0,0,0
3,Travel_Frequently,1392,5,4,56,3,1,Research Scientist,3,2909,23159,1,Y,Yes,11,3,80,0,8,3,3,8,7,3,0
4,Travel_Rarely,591,7,1,40,3,1,Laboratory Technician,2,3468,16632,9,Y,No,12,3,80,1,6,3,3,2,2,2,2
5,Travel_Frequently,1005,8,4,79,3,1,Laboratory Technician,4,3068,11864,0,Y,No,13,3,80,0,8,2,2,7,7,3,6
6,Travel_Rarely,1324,10,3,81,4,1,Laboratory Technician,1,2670,9964,4,Y,Yes,20,4,80,3,12,3,2,1,0,0,0
7,Travel_Rarely,1358,11,4,67,3,1,Laboratory Technician,3,2693,13335,1,Y,No,22,4,80,1,1,2,3,1,0,0,0
8,Travel_Frequently,216,12,4,44,2,3,Manufacturing Director,3,9526,8787,0,Y,No,21,4,80,0,10,2,3,9,7,1,8
9,Travel_Rarely,1299,13,3,94,3,2,Healthcare Representative,3,5237,16577,6,Y,No,13,3,80,2,17,3,2,7,7,7,7
10,Travel_Rarely,809,14,1,84,4,1,Laboratory Technician,2,2426,16479,0,Y,No,13,3,80,1,6,5,3,5,4,0,3
11,Travel_Rarely,153,15,4,49,2,2,Laboratory Technician,3,4193,12682,0,Y,Yes,12,3,80,0,10,3,3,9,5,0,8
12,Travel_Rarely,670,16,1,31,3,1,Research Scientist,3,2911,15170,1,Y,No,17,3,80,1,5,1,2,5,2,4,3
13,Travel_Rarely,1346,18,2,93,3,1,Laboratory Technician,4,2661,8758,0,Y,No,11,3,80,1,3,2,3,2,2,1,2
14,Travel_Rarely,103,19,3,50,2,1,Laboratory Technician,3,2028,12947,5,Y,Yes,14,3,80,0,6,4,3,4,2,0,3
15,Travel_Rarely,1389,20,2,51,4,3,Manufacturing Director,1,9980,10195,1,Y,No,11,3,80,1,10,1,3,10,9,8,8
16,Travel_Rarely,334,21,1,80,4,1,Research Scientist,2,3298,15053,0,Y,Yes,12,3,80,2,7,5,2,6,2,0,5
17,Non-Travel,1123,22,4,96,4,1,Laboratory Technician,4,2935,7324,1,Y,Yes,13,3,80,2,1,2,2,1,0,0,0
18,Travel_Rarely,371,24,4,45,3,1,Research Scientist,4,3944,4306,5,Y,Yes,11,3,80,0,6,3,3,3,2,1,2
19,Non-Travel,673,26,1,96,4,2,Manufacturing Director,3,4011,8232,0,Y,No,18,3,80,1,5,5,2,4,2,1,3
20,Travel_Rarely,419,28,1,53,3,3,Research Director,2,11994,21293,0,Y,No,11,3,80,0,13,4,3,12,6,2,11
21,Travel_Rarely,391,30,3,96,3,1,Research Scientist,4,1232,19281,1,Y,No,14,3,80,0,0,6,3,0,0,0,0
22,Travel_Rarely,699,31,2,83,3,1,Research Scientist,1,2960,17102,2,Y,No,11,3,80,0,8,2,3,4,2,1,3
23,Travel_Rarely,1282,32,3,58,3,5,Manager,3,19094,10735,4,Y,No,11,3,80,1,26,3,2,14,13,4,8
24,Travel_Frequently,1125,33,2,72,1,1,Research Scientist,1,3919,4681,1,Y,Yes,22,4,80,0,10,5,3,10,2,6,7
25,Travel_Rarely,477,36,1,42,2,3,Healthcare Representative,4,10248,2094,3,Y,No,14,3,80,1,24,4,3,22,6,5,17
26,Travel_Rarely,924,39,3,78,3,1,Laboratory Technician,4,2496,6670,4,Y,No,11,3,80,0,7,3,3,1,1,0,0
27,Travel_Rarely,1459,40,4,41,3,2,Healthcare Representative,4,6465,19121,2,Y,Yes,13,3,80,0,9,5,4,4,2,1,3
28,Travel_Rarely,125,41,4,83,2,1,Laboratory Technician,3,2206,16117,1,Y,No,13,3,80,0,10,5,3,10,0,1,8
29,Travel_Rarely,813,45,2,61,3,1,Research Scientist,4,2293,3020,2,Y,Yes,16,3,80,1,6,2,2,2,0,2,0
30,Travel_Rarely,1273,46,4,72,4,1,Research Scientist,3,2645,21923,1,Y,No,12,3,80,2,6,3,2,5,3,1,4
31,Travel_Rarely,852,51,2,82,2,1,Research Scientist,1,3419,13072,9,Y,Yes,14,3,80,1,6,3,4,1,1,0,0
32,Travel_Rarely,464,53,3,75,3,1,Laboratory Technician,4,1951,10910,1,Y,No,12,3,80,1,1,3,3,1,0,0,0
33,Travel_Rarely,1240,54,4,33,3,1,Laboratory Technician,1,2341,19715,1,Y,No,13,3,80,1,1,6,3,1,0,0,0
34,Travel_Rarely,1357,55,1,48,1,1,Laboratory Technician,3,2293,10558,1,Y,No,12,3,80,0,1,2,2,1,0,0,1
