,BusinessTravel,DailyRate,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,Travel_Rarely,1102,1,2,94,3,2,Sales Executive,4,5993,19479,8,Y,Yes,11,3,80,0,8,0,1,6,4,0,5
2,Travel_Rarely,1219,23,1,78,2,4,Manager,4,15427,22021,2,Y,No,16,3,80,0,31,3,3,25,8,3,7
3,Travel_Rarely,1218,27,3,82,2,1,Sales Representative,1,3407,6986,7,Y,No,23,4,80,0,10,4,3,5,3,0,3
4,Travel_Rarely,691,35,3,48,3,2,Sales Executive,2,6825,21173,0,Y,No,11,3,80,1,10,2,3,9,7,4,2
5,Travel_Rarely,705,38,2,83,3,5,Manager,1,18947,22822,3,Y,No,12,3,80,0,22,2,2,2,2,2,1
6,Travel_Rarely,895,42,4,56,3,2,Sales Representative,4,2086,3335,3,Y,No,14,3,80,1,19,6,4,1,0,0,0
7,Travel_Rarely,869,47,1,86,2,1,Sales Representative,3,2683,3810,1,Y,Yes,14,3,80,0,3,2,3,3,2,0,2
8,Travel_Rarely,890,49,4,97,3,1,Sales Representative,4,2014,9687,1,Y,No,13,3,80,0,2,3,3,2,2,2,2
9,Travel_Frequently,1141,52,3,42,4,2,Sales Executive,1,5376,3193,2,Y,No,19,3,80,2,10,3,3,5,3,1,3
10,Travel_Frequently,994,56,4,37,3,3,Sales Executive,3,8726,2975,1,Y,No,15,3,80,0,9,0,3,9,8,1,7
11,Non-Travel,1065,60,2,72,3,2,Sales Executive,3,4568,10034,0,Y,No,20,4,80,0,10,2,3,9,5,8,7
12,Travel_Frequently,1211,62,1,98,3,2,Sales Executive,4,5772,20445,4,Y,Yes,21,4,80,0,14,4,3,9,6,0,8
13,Travel_Rarely,1488,68,2,75,3,2,Sales Executive,1,5454,4009,5,Y,Yes,21,4,80,1,9,2,2,4,3,1,3
14,Travel_Rarely,1443,72,3,47,2,2,Sales Executive,4,4157,21436,7,Y,Yes,19,3,80,1,5,2,2,2,2,0,0
